ConversionId,Multiplier,ConvertFromQty,ConvertFromUom,ConvertToQty,ConvertToUom
I-3651,0.47619048,1.0000,Tbsp,2.1000,g
I-3653,0.23255814,1.0000,Tbsp,4.3000,g
I-3654,0.45454545,1.0000,tsp,2.2000,g
I-3654,0.14705882,1.0000,Tbsp,6.8000,g
I-3655,0.06666667,1.0000,ea,15.0000,g
I-3655,1.50015002,1.5002,g,1.0000,ea
I-3657,0.21739130,1.0000,tsp,4.6000,g
I-3657,0.00454545,1.0000,cup,220.0000,g
I-3658,0.21739130,1.0000,tsp,4.6000,g
I-3658,0.00454545,1.0000,cup,220.0000,g
I-3659,0.23809524,1.0000,tsp,4.2000,g
I-3659,0.00500000,1.0000,cup,200.0000,g
I-3660,0.23809524,1.0000,tsp,4.2000,g
I-3660,0.00500000,1.0000,cup,200.0000,g
I-3661,0.40000000,1.0000,tsp,2.5000,g
I-3670,0.05000000,1.0000,Tbsp,20.0000,g
I-3670,0.00317460,1.0000,cup,315.0000,g
I-3671,0.05000000,1.0000,Tbsp,20.0000,g
I-3671,0.00318471,1.0000,cup,314.0000,g
I-3676,0.35211268,1.0000,LG CAN,2.8400,L
I-3678,0.00392157,1.0000,cup,255.0000,g
I-3679,0.06666667,1.0000,Tbsp,15.0000,g
I-3679,0.00526316,1.0000,can,190.0000,g
I-3679,0.00416667,1.0000,cup,240.0000,g
I-3679,0.00096061,1.0000,L,1041.0000,g
I-3692,0.18867925,1.0000,tsp,5.3000,g
I-3692,0.06250000,1.0000,Tbsp,16.0000,g
I-3692,0.00392157,1.0000,cup,255.0000,g
I-3692,0.00100000,1.0000,L,1000.0000,g
I-3695,0.20000000,1.0000,tsp,5.0000,g
I-3695,0.06711409,1.0000,Tbsp,14.9000,g
I-3695,0.00418410,1.0000,cup,239.0000,g
I-3698,0.20000000,1.0000,tsp,5.0000,g
I-3698,0.06711409,1.0000,Tbsp,14.9000,g
I-3698,0.00420168,1.0000,cup,238.0000,g
I-3698,0.00100000,1.0000,L,1000.0000,g
I-3854,0.00869565,1.0000,CT,115.0000,g
I-3898,0.01851852,1.0000,Kg,54.0000,ea
I-4249,0.00549451,1.0000,CT,182.0000,g
I-4252,0.00549451,1.0000,CT,182.0000,g
I-4255,0.00549451,1.0000,CT,182.0000,g
I-4271,0.00549451,1.0000,CT,182.0000,g
I-4279,0.00549451,1.0000,CT,182.0000,g
I-4341,0.06250000,0.2500,cup,4.0000,g
I-4341,0.35714286,1.0000,CT,2.8000,oz
I-4347,0.00263158,1.0000,CT,380.0000,g
I-4352,0.00427350,1.0000,CT,234.0000,g
I-4375,0.06666667,1.0000,CT,15.0000,g
I-4396,0.00561798,1.0000,CT,178.0000,g
I-4450,0.33333333,1.0000,Tbsp,3.0000,g
I-4450,0.03030303,1.0000,cup,33.0000,g
I-4450,0.01000000,1.0000,CT,100.0000,g
I-4451,0.00427350,1.0000,CT,234.0000,g
I-4452,0.00427350,1.0000,HEAD,234.0000,g
I-4454,0.00549451,1.0000,CT,182.0000,g
I-4456,0.00520833,1.0000,CT,192.0000,g
I-4458,0.00591716,1.0000,CT,169.0000,g
I-4460,0.00549451,1.0000,CT,182.0000,g
I-4461,0.00549451,1.0000,CT,182.0000,g
I-4472,0.00735294,1.0000,CT,136.0000,g
I-4473,0.00735294,1.0000,HEAD,136.0000,g
I-4480,0.00555556,1.0000,CT,180.0000,g
I-4507,0.18018018,1.0000,Kg,5.5500,piece
I-4507,0.00847458,1.0000,ea,118.0000,g
I-4527,0.00694444,1.0000,cup,144.0000,g
I-4527,0.00220264,1.0000,BASKET,454.0000,g
I-4529,0.00694444,1.0000,cup,144.0000,g
I-4529,0.00588235,1.0000,BASKET,170.0000,g
I-4530,0.00675676,1.0000,cup,148.0000,g
I-4530,0.00303030,1.0000,BASKET,330.0000,g
I-4536,0.00164474,1.0000,BUNCH,608.0000,g
I-4536,0.00123457,1.0000,CT,810.0000,g
I-4557,0.04347826,1.0000,leaf,23.0000,g
I-4557,0.00100000,1.0000,CT,1000.0000,g
I-4560,0.00122850,1.0000,CT,814.0000,g
I-4574,0.00909091,1.0000,cup,110.0000,g
I-4593,0.00200000,1.0000,HEAD,500.0000,g
I-4593,0.00170068,1.0000,CT,588.0000,g
I-4594,0.00119048,1.0000,CT,840.0000,g
I-4598,0.00125000,1.0000,CT,800.0000,g
I-4601,0.00990099,1.0000,cup,101.0000,g
I-4620,0.06250000,0.2500,cup,4.0000,g
I-4620,0.01000000,1.0000,CT,100.0000,g
I-4621,0.06250000,0.2500,cup,4.0000,g
I-4621,0.35714286,1.0000,BUNCH,2.8000,oz
I-4626,0.00263158,1.0000,CT,380.0000,g
I-4628,0.00332226,1.0000,HEAD,301.0000,g
I-4640,0.07692308,1.0000,cs,13.0000,Kg
I-4640,0.00200000,1.0000,CT,500.0000,g
I-4663,0.07692308,1.0000,CT,13.0000,oz
I-4664,0.00813008,1.0000,CT,123.0000,g
I-4679,0.06666667,1.0000,BUNCH,15.0000,g
I-4690,0.20000000,1.0000,leaf,5.0000,g
I-4690,0.00613497,1.0000,CT,163.0000,g
I-4691,0.00066667,1.0000,CT,1500.0000,g
I-4693,0.00132450,1.0000,CT,755.0000,g
I-4698,0.00400000,1.0000,CT,250.0000,g
I-4699,0.00500000,1.0000,BUNCH,200.0000,g
I-4700,0.00400000,1.0000,CT,250.0000,g
I-4702,0.01449275,1.0000,HEAD,69.0000,g
I-4709,0.01190476,1.0000,CT,84.0000,g
I-4711,0.00277778,1.0000,CT,360.0000,g
I-4711,0.00277778,1.0000,HEAD,360.0000,g
I-4712,0.01492537,1.0000,CT,67.0000,g
I-4745,0.00666667,1.0000,ea,150.0000,g
I-4761,0.33333333,1.0000,lb,3.0000,CT
I-4764,0.00763359,1.0000,CT,131.0000,g
I-4765,0.01041667,1.0000,CT,96.0000,g
I-4766,0.00763359,1.0000,CT,131.0000,g
I-4772,0.26315789,1.0000,Tbsp,3.8000,g
I-4772,0.01000000,1.0000,BUNCH,100.0000,g
I-4781,0.00434783,1.0000,CT,230.0000,g
I-4783,0.00714286,1.0000,CT,140.0000,g
I-4804,0.00110497,1.0000,CT,905.0000,g
I-4829,0.00813008,1.0000,cup,123.0000,g
I-4829,0.00588235,1.0000,BASKET,170.0000,g
I-4844,0.00159744,1.0000,HEAD,626.0000,g
I-4894,0.04000000,1.0000,ea,25.0000,g
I-4915,0.02777778,1.0000,cup,36.0000,g
I-4915,0.02083333,1.0000,leaf,48.0000,g
I-4915,0.00222222,1.0000,HEAD,450.0000,g
I-4925,0.00352113,1.0000,BASKET,284.0000,g
I-4947,0.02941176,1.0000,cup,34.0000,g
I-4947,0.00735294,1.0000,CT,136.0000,g
I-4949,0.00022134,1.0000,CT,4518.0000,g
P-5962,0.01333333,1.0000,L,75.0000,srvg
I-5967,1.00000000,1.0000,500ML,1.0000,473ML
I-5968,1.00000000,1.0000,500ML,1.0000,473ML
I-5977,0.38461538,1.0000,tsp,2.6000,g
I-5977,0.14285714,1.0000,piece,7.0000,g
I-5977,0.12820513,1.0000,Tbsp,7.8000,g
I-5983,0.03378378,1.0000,fl oz,29.6000,g
I-5983,0.00100000,1.0000,L,1000.0000,g
I-6006,0.22222222,1.0000,tsp,4.5000,g
I-6006,0.07407407,1.0000,Tbsp,13.5000,g
I-6006,0.00462963,1.0000,cup,216.0000,g
I-6013,1.00000000,1.0000,473ML,1.0000,bottle
I-6017,0.00161250,0.1613,L,100.0000,g
I-6017,0.14285714,1.0000,slice,7.0000,g
I-6017,0.01538462,1.0000,piece,65.0000,g
I-6443,0.03246753,1.0000,fl oz,30.8000,g
I-6443,0.00406504,1.0000,cup,246.0000,g
I-6775,0.00549451,1.0000,CT,182.0000,g
I-6791,0.00411523,1.0000,cup,243.0000,g
I-6812,0.00909091,1.0000,cup,110.0000,g
I-6832,0.00909091,1.0000,cup,110.0000,g
I-7060,0.03401361,1.0000,fl oz,29.4000,g
I-7061,0.03401361,1.0000,fl oz,29.4000,g
I-7978,2.63157895,1.0000,lb,0.3800,L
I-7978,0.54347826,1.0000,XXX,1.8400,L
I-8042,0.00549451,1.0000,CT,182.0000,g
I-8058,0.00408163,1.0000,cup,245.0000,g
I-8060,0.07042254,1.0000,Tbsp,14.2000,g
I-8060,0.00440529,1.0000,cup,227.0000,g
I-8235,0.22222222,1.0000,tsp,4.5000,g
I-8235,0.07407407,1.0000,Tbsp,13.5000,g
