PrepId,Description,PakQty,PakUOM,InventoryGroup,StdQty,StdUom,GHG Emission (g),GHG Emission(g)/StdUom,N lost (g),N lost (g)/StdUom,Freshwater Withdrawals (ml),Freshwater Withdrawals (ml)/StdUom,Stress-Weighted Water Use (ml),Stress-Weighted Water Use (ml)/StdUom,Land Use (m^2),Land Use (m^2)/StdUom
P-71427,BATCH|Beef Sausage roll,60.0,each,,90.0,g,2480.778,27.564199999999996,19.77,0.21966666666666665,100632.0,1118.1333333333334,3678540.0,40872.666666666664,7.587000000000001,0.08430000000000001
P-7093,COOKED|Mashed Potatoes,30.0,Kg,PREP,30000.0,g,44462.89880000001,1.482096626666667,278.5728,0.009285759999999999,1069057.8080000002,35.63526026666667,168638470.544,5621.282351466667,52.2866,0.0017428866666666667
P-25993,MIX|Salt and Pepper - FT,7.0,Kg,,7000.0,g,20940.600000000002,2.991514285714286,13.5,0.0019285714285714286,49800.0,7.114285714285714,440600.0,62.94285714285714,62.0,0.008857142857142857
P-26759,ROASTED|Brussel Sprout,4.536,Kg,,4536.0,g,3319.3635714285715,0.7317820924666163,39.52164285714286,0.00871288422776518,272619.5714285714,60.10131645250693,12418130.714285715,2737.683138070043,12.494085714285713,0.0027544280675233053
P-62014,ROASTED|Carved Beef,0.7,Kg,,20.0,g,1195.0265,59.751324999999994,3.59875,0.1799375,17892.5,894.625,623003.5,31150.175,2.6595,0.132975
P-70677,YIELD|Demi Glace,1.8,L,,1800.0,ml,2954.52,1.6414,0.0,0.0,18180.0,10.1,117360.0,65.2,4.3020000000000005,0.00239
