ProdId,Description,SalesGroup,Weight (g),GHG Emission (g),N lost (g),Land Use (m^2),Freshwater Withdrawals (L),Stress-Weighted Water Use (L),GHG Emission (g) / 100g,N lost (g) / 100g,Freshwater Withdrawals (L) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g,GHG Only Label,Combined Label
R-71428,HC|Beef sausage roll,FEAST,240,5101.116,39.54,15.174000000000005,201.26,7357.08,2125.46,16.48,83.86,3065.45,6.32,Red,Red
R-62265,HS|Carved|Roast Beef ,FT HOMESKILLET,400,8685.057371913328,26.99111442277652,19.209631473419,135.43,5200.83,2171.26,6.75,33.86,1300.21,4.8,Red,Red
